title,Tg,source
Shape memory polyimide composites with high storage modulus and high glass transition temperature,205.0,SemanticScholar
Is A Vitrimer with A High Glass Transition Temperature Available? A Case Study on Rigid Polyimides Crosslinked with Dynamic Ester Bonds.,310.0,SemanticScholar
Highly Transparent and Colorless Nanocellulose/Polyimide Substrates with Enhanced Thermal and Mechanical Properties for Flexible OLED Displays,289.0,SemanticScholar
Closed-Cell Rigid Polyimide Foams for High-Temperature Applications: The Effect of Structure on Combined Properties,395.0,SemanticScholar
"Synthesize and introduce bio-based aromatic s-triazine in epoxy resin: Enabling extremely high thermal stability, mechanical properties, and flame retardancy to achieve high-performance sustainable polymers",300.0,SemanticScholar
Facile synthesis of bio-based tetra-functional epoxy resin and its potential application as high-performance composite resin matrix,326.0,SemanticScholar
